movies,Title,genresgenregenre,YEAR,Rating
108583,Fawlty Towers (1975,Comedy,-1980,1
32898,"Trip to the Moon, A (Voyage dans la lune, Le)",Action|Adventure|Fantasy|Sci-Fi,1902,7
7065,"Birth of a Nation, The",Drama|War,1915,6
7243,Intolerance: Love's Struggle Throughout the Ages,Drama,1915,4
62383,"20,000 Leagues Under the Sea",Action|Adventure|Sci-Fi,1915,9
8511,"Immigrant, The",Comedy,1917,4
3309,"Dog's Life, A",Comedy,1917,3
72626,"Billy Blazes, Esq.",Comedy|Western,1918,2
6987,"Cabinet of Dr. Caligari, The (Cabinet des Dr. Caligari., Das)",Crime|Fantasy|Horror,1919,4
25737,"Golem, The (Golem, wie er in die Welt kam, Der)",Fantasy|Horror,1919,8
59945,"Mark of Zorro, The",Adventure|Romance|Western,1919,8
3310,"Kid, The",Comedy|Drama,1921,8
83096,"Haunted House, The",Comedy,1920,9
83318,"Goat, The",Comedy,1921,8
83322,"Boat, The",Comedy,1920,4
83359,"Play House, The",Comedy,1921,6
1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens)",Horror,1922,3
4768,"Dr. Mabuse: The Gambler (Dr. Mabuse, der Spieler)",Crime|Mystery|Thriller,1921,2
25744,Haxan: Witchcraft Through the Ages (a.k.a. The Witches),Documentary|Horror,1922,6
44587,Nanook of the North,Documentary|Drama,1922,2
83361,"Paleface, The",Comedy,1922,1
83411,Cops,Comedy,1921,4
3140,Three Ages,Comedy,1923,6
8235,Safety Last!,Action|Comedy|Romance,1923,7
8609,Our Hospitality,Comedy,1923,8
4405,"Last Laugh, The (Letzte Mann, Der)",Drama,1924,9
7074,"Navigator, The",Comedy,1924,2
7302,"Thief of Bagdad, The",Action|Adventure|Fantasy,1924,6
25750,Sherlock Jr.,Comedy|Fantasy|Romance,1923,2
25753,Greed,Drama,1923,6
3133,Go West,Comedy|Western,1924,10
3232,Seven Chances,Comedy,1925,6
3629,"Gold Rush, The",Adventure|Comedy|Romance,1925,5
3742,Battleship Potemkin,Drama|War,1925,1
4277,"Lost World, The",Adventure|Sci-Fi,1925,5
6986,Ben-Hur: A Tale of the Christ,Adventure|Drama|Romance,1924,4
25752,"Freshman, The",Comedy,1925,8
25755,"Phantom of the Opera, The",Drama|Horror,1925,1
957,"Scarlet Letter, The",Drama,1926,8
3022,"General, The",Comedy|War,1926,9
3492,"Son of the Sheik, The",Adventure|Comedy|Romance,1926,7
4404,Faust,Drama|Fantasy|Horror,1926,1
7309,"Black Pirate, The",Action|Adventure,1925,4
121618,The Great Gatsby,Drama,1926,3
1925,Wings,Action|Drama|Romance|War,1927,2
2010,Metropolis,Drama|Sci-Fi,1927,9
2227,"Lodger: A Story of the London Fog, The",Crime|Drama|Thriller,1926,6
7914,Berlin: Symphony of a Great City (Berlin: Die Sinfonie der Großstadt),Documentary,1926,4
8125,Sunrise: A Song of Two Humans,Drama|Romance,1927,3
8275,College,Comedy,1927,7
8423,"Kid Brother, The",Children|Comedy|Romance,1927,10
58649,Napoléon,Drama|War,1926,4
2102,Steamboat Willie,Animation|Children|Comedy|Musical,1927,8
3306,"Circus, The",Comedy,1927,1
6985,"Passion of Joan of Arc, The (Passion de Jeanne d'Arc, La)",Drama,1927,9
25764,"Cameraman, The",Comedy|Drama|Romance,1927,8
25769,"Steamboat Bill, Jr.",Comedy|Romance,1927,5
1926,"Broadway Melody, The",Musical,1928,7
2221,Blackmail,Drama|Thriller,1928,8
6433,"Man with the Movie Camera, The (Chelovek s kino-apparatom)",Documentary,1929,3
25763,"Pandora's Box (Büchse der Pandora, Die)",Drama,1929,10
25771,"Andalusian Dog, An (Chien andalou, Un)",Fantasy,1929,8
33312,"Cocoanuts, The",Comedy|Musical,1928,1
59846,"Iron Mask, The",Adventure|Drama|Romance,1928,7
1927,All Quiet on the Western Front,Action|Drama|War,1930,9
2219,Murder!,Mystery|Thriller,1929,5
4970,"Blue Angel, The (Blaue Engel, Der)",Drama,1929,7
7706,Animal Crackers,Comedy|Musical,1929,5
25774,"Golden Age, The (Âge d'Or, L')",Comedy|Drama|Romance,1929,3
1260,M,Crime|Film-Noir|Thriller,1931,5
1928,Cimarron,Drama|Western,1930,2
2215,Rich and Strange,Comedy|Romance,1930,10
2644,Dracula,Horror,1930,2
2648,Frankenstein,Drama|Horror|Sci-Fi,1931,3
3307,City Lights,Comedy|Drama|Romance,1931,6
5560,À nous la liberté (Freedom for Us),Comedy|Musical,1931,7
5599,Tabu: A Story of the South Seas,Drama|Romance,1931,3
7056,"Public Enemy, The",Action|Crime|Drama,1931,6
8228,"Maltese Falcon, The (a.k.a. Dangerous Female)",Mystery,1930,8
25773,Little Caesar,Crime|Drama,1930,1
25777,Monkey Business,Comedy,1930,8
32280,The 3 Penny Opera,Comedy|Drama|Musical,1931,2
72683,Limit (Limite),Drama,1931,4
976,"Farewell to Arms, A",Romance|War,1931,8
1929,Grand Hotel,Drama|Romance,1931,4
2214,Number Seventeen (a.k.a. Number 17),Thriller,1931,6
2633,"Mummy, The",Horror|Romance,1932,6
2904,Rain,Drama,1931,4
3739,Trouble in Paradise,Comedy|Romance,1932,8
7091,Horse Feathers,Comedy,1931,4
7881,White Zombie,Horror,1931,1
8044,I Am a Fugitive from a Chain Gang,Crime|Drama|Film-Noir,1931,9
8507,Freaks,Crime|Drama|Horror,1931,9
25788,Scarface,Crime|Drama,1931,5
25792,"I Was Born, But... (a.k.a. Children of Tokyo) (Otona no miru ehon - Umarete wa mita keredo)",Comedy|Drama,1931,6
53038,Red Dust,Drama,1932,5
123663,The Passionate Plumber,Comedy,1932,8
1256,Duck Soup,Comedy|Musical|War,1933,10
2366,King Kong,Action|Adventure|Fantasy|Horror,1933,2
3932,"Invisible Man, The",Horror|Sci-Fi,1933,7
4921,Little Women,Drama|Romance,1932,9
7080,42nd Street,Drama|Musical|Romance,1933,2
7081,I'm No Angel,Comedy,1933,2
8256,Queen Christina,Drama|Romance,1933,10
8670,"Testament of Dr. Mabuse, The (Das Testament des Dr. Mabuse)",Crime|Horror|Mystery|Thriller,1933,5
25795,Dinner at Eight,Comedy|Drama|Romance,1933,4
25801,She Done Him Wrong,Comedy|Romance,1932,10
48301,"Private Life of Henry VIII, The",Comedy|Drama,1933,5
71102,"Three Musketeers, The",Action|Adventure|Thriller,1932,7
80748,Alice in Wonderland,Adventure|Children|Fantasy,1932,1
905,It Happened One Night,Comedy|Romance,1933,1
